id_berita;id_kalimat;kuantitas;isValid
15;579;berbayar;0
3;94;12 kali;1
3;95;ketiga;1
3;96;Tidak Ada;2
3;97;Tidak Ada;1
15;590;Tidak Ada;1
15;579;Tidak Ada;1
15;580;Tidak Ada;2
15;581;Rerata;2
15;583;Tidak Ada;2
15;587;Tidak Ada;2
15;588;Tidak Ada;1
3;92;Tidak Ada;1
3;93;Tidak Ada;1
3;94;Tidak Ada;2
3;95;Tidak Ada;2
3;96;Tidak Ada;2
3;97;Tidak Ada;2
3;98;10;2
23;851;Tidak Ada;2
3;99;Tidak Ada;2
3;100;Tidak Ada;2
3;101;Tidak Ada;2
3;102;Tidak Ada;2
3;103;Tidak Ada;2
3;104;135;2
3;104;46;2
3;104;89;2
3;105;Tidak Ada;2
3;106;15;2
15;590;Tidak Ada;2
15;579;Tidak Ada;2
3;107;13;2
15;580;Tidak Ada;2
15;581;20.927;2
15;583;Tidak Ada;2
3;108;20;2
3;108;10;2
3;109;Tidak Ada;2
15;587;Tidak Ada;2
3;110;Tidak Ada;2
15;588;Tidak Ada;2
3;111;Tidak Ada;2
3;92;Tidak Ada;2
3;112;Tidak Ada;2
3;113;Tidak Ada;2
3;114;Tidak Ada;2
3;115;Tidak Ada;2
3;116;Tidak Ada;2
3;117;Tidak Ada;2
3;118;Tidak Ada;2
109;4445;Tidak Ada;2
109;4446;Tidak Ada;2
109;4447;Tidak Ada;2
21;777;Tidak Ada;1
21;778;Tidak Ada;1
21;779;Tidak Ada;1
21;780;14;1
21;781;Tidak Ada;1
21;782;Tidak Ada;1
21;783;dua;2
21;784;sekitar setengah orang;1
21;784;Tidak Ada;1
21;785;80;1
21;786;Tidak Ada;1
21;787;Tidak Ada;1
21;788;Tidak Ada;1
21;789;Tidak Ada;1
21;790;Tidak Ada;1
21;791;1980;1
21;792;Tidak Ada;1
21;793;Tidak Ada;1
21;794;Tidak Ada;1
21;795;Tidak Ada;1
21;796;Tidak Ada;1
21;797;Tidak Ada;1
21;798;Tidak Ada;1
21;799;Tidak Ada;1
21;800;Tidak Ada;1
21;801;Tidak Ada;1
21;802;Tidak Ada;1
23;852;Tidak Ada;2
23;853;Tidak Ada;2
23;854;Tidak Ada;2
23;855;Tidak Ada;2
23;856;Tidak Ada;2
23;857;empat gelar juara;2
23;858;enam gelar juara dunia;2
23;859;gelar juara untuk keenam kali;2
23;860;8 gelar;2
23;860;7;2
23;860;8;2
109;4445;Tidak Ada;2
109;4446;ketiga;2
109;4447;Tidak Ada;2
109;4448;Tidak Ada;2
109;4449;Tidak Ada;2
23;861;masih muda;2
109;4450;Tidak Ada;2
109;4451;9 bulan;2
23;862;lima kali;2
109;4452;3,5 tahun;2
109;4453;Tidak Ada;2
23;863;Tidak Ada;2
23;864;Tidak Ada;2
23;865;Tidak Ada;2
23;866;keempat kali;2
23;867;sembilan;2
23;868;ketiga;2
23;869;23;2
35;1566;17 kamera;2
35;1566;10 kamera;2
35;1566;23 kamera;2
35;1566;20MP;2
35;1566;1MP;2
35;1567;satu hal;2
35;1568;Tidak Ada;2
35;1569;Tidak Ada;2
197;8572;Tidak Ada;2
22;842;Tidak Ada;2
22;843;Tidak Ada;2
22;844;Tidak Ada;2
22;845;Tidak Ada;2
22;846;Tidak Ada;2
23;870;Tidak Ada;2
23;871;urutan lima;2
197;8572;Tidak Ada;2
197;8573;Tidak Ada;2
197;8574;Tidak Ada;2
23;872;Tidak Ada;2
197;8575;Tidak Ada;2
197;8578;Tidak Ada;2
197;8579;Tidak Ada;2
197;8580;Tidak Ada;2
197;8581;Tidak Ada;2
22;847;Tidak Ada;2
23;873;Tidak Ada;2
22;848;Tidak Ada;2
22;849;Tidak Ada;2
100;4134;Tidak Ada;2
23;874;Tidak Ada;2
22;850;Tidak Ada;2
199;8666;Tidak Ada;2
199;8667;Tidak Ada;2
199;8668;Tidak Ada;2
199;8669;Tidak Ada;2
199;8670;Tidak Ada;2
199;8671;Tidak Ada;2
199;8672;Tidak Ada;2
199;8673;Tidak Ada;2
199;8673;Tidak Ada;2
199;8674;Tidak Ada;2
199;8675;Tidak Ada;2
199;8676;Tidak Ada;2
199;8677;Tidak Ada;2
22;810;Tidak Ada;2
199;8678;Tidak Ada;2
199;8679;23 persen.;2
199;8680;23 persen;2
199;8681;16 tahun;2
199;8681;19 tahun;2
199;8682;18 tahun.;2
199;8683;21 tahun.;2
199;8684;18 tahun;2
199;8684;16 tahun;2
199;8684;18 tahun;2
199;8684;21 tahun;2
199;8685;20 tahun;2
199;8685;24 tahun;2
199;8685;18 tahun;2
199;8686;20-24 tahun;2
199;8686;5,1 juta jiwa;2
199;8686;5,3 juta jiwa;2
199;8687;28,9 ribu orang;2
199;8687;129,6 ribu orang;2
199;8688;1.100.000 orang;2
199;8688;570.600 orang;2
199;8689;20-24 tahun;2
199;8689;18 tahun;2
199;8690;Tidak Ada;2
199;8691;15 tahun;2
199;8691;dalam 6 tahun;2
199;8691;15-17 tahun;2
199;8691;Tidak Ada;2
199;8692;Tidak Ada;2
199;8693;dibawah 18 tahun;2
199;8694;salah satu;2
199;8695;Tidak Ada;2
22;811;Tidak Ada;2
199;8696;Tidak Ada;2
22;812;Tidak Ada;2
22;813;Tidak Ada;2
199;8697;Tidak Ada;2
199;8698;Tidak Ada;2
22;814;Tidak Ada;2
199;8699;1;2
199;8699;9;2
199;8699;18 tahun;2
199;8700;375 anak;2
199;8701;Tidak Ada;2
199;8702;3 provinsi;2
199;8703;30;2
199;8703;2;2
199;8704;Tidak Ada;2
22;815;Tidak Ada;2
199;8705;salah satunya;2
199;8706;Tidak Ada;2
199;8707;Tidak Ada;2
199;8708;Tidak Ada;2
199;8709;Tidak Ada;2
199;8710;4-5 desa;2
199;8711;Tidak Ada;2
199;8712;Tidak Ada;2
199;8713;4 Provinsi;2
199;8713;10 besar;2
22;816;Tidak Ada;2
199;8714;20-24 tahun;2
199;8714;15-17 tahun;2
199;8714;32,03%;2
199;8714;12,67%;2
22;817;Tidak Ada;2
199;8715;4,06%;2
199;8716;tidak ada;2
199;8717;Tidak Ada;2
199;8718;Tidak Ada;2
199;8719;Tidak Ada;2
199;8720;10-14 tahun;2
199;8720;20-14 tahun;2
199;8720;5 kali;2
199;8721;15-19 tahun;2
199;8722;Tidak Ada;2
199;8723;Tidak Ada;2
199;8724;Tidak Ada;2
199;8725;4 provinsi;2
199;8725;37 kabupaten/kota;2
199;8726;Tidak Ada;2
199;8727;Tidak Ada;2
215;9293;20 tahun;2
22;818;Tidak Ada;2
22;819;Tidak Ada;2
199;8666;Dua;2
199;8667;Tidak Ada;2
199;8668;Tidak Ada;2
199;8669;Tidak Ada;2
215;9263;Tidak Ada;2
199;8670;Tidak Ada;2
199;8671;Tidak Ada;2
215;9264;Tidak Ada;2
199;8672;Tidak Ada;2
199;8673;tujuh;2
199;8674;Tidak Ada;2
199;8675;lima;2
215;9265;Tidak Ada;2
199;8676;Lima;2
215;9266;Tidak Ada;2
199;8677;lima;2
215;9267;20 Tahun;2
199;8678;Tidak Ada;2
215;9268;Tidak Ada;2
215;9269;Tidak Ada;2
215;9270;Tidak Ada;2
199;8679;23;2
215;9271;Tidak Ada;2
215;9272;Tidak Ada;2
199;8680;Tidak Ada;2
215;9273;Tidak Ada;2
199;8681;Tidak Ada;2
215;9274;Tidak Ada;2
199;8682;Tidak Ada;2
215;9275;Tidak Ada;2
21;803;Tidak Ada;1
21;804;Tidak Ada;1
21;805;Tidak Ada;1
21;806;Tidak Ada;1
21;807;one;1
21;808;Tidak Ada;1
21;809;Tidak Ada;1
179;7695;17;2
179;7696;Tidak Ada;1
179;7697;344;1
179;7698;lima;1
179;7698;13;1
179;7698;10;1
179;7699;754;2
179;7700;Tidak Ada;1
179;7701;Tidak Ada;1
179;7702;Tidak Ada;0
179;7703;Tidak Ada;1
179;7704;Tidak Ada;1
179;7705;Tidak Ada;2
179;7706;Tidak Ada;2
179;7707;1;2
215;9276;Tidak Ada;2
179;7708;Tidak Ada;2
215;9277;Tidak Ada;2
215;9278;Tidak Ada;2
215;9280;Tidak Ada;2
179;7709;Tidak Ada;2
179;7710;Tidak Ada;2
179;7711;Tidak Ada;2
179;7712;Tidak Ada;2
179;7713;Tidak Ada;2
179;7714;Tidak Ada;2
179;7715;Tidak Ada;2
179;7716;Tidak Ada;2
179;7717;Tidak Ada;2
179;7718;Tidak Ada;2
179;7719;Tidak Ada;2
179;7720;Dua;2
3;98;Tidak Ada;2
3;99;Tidak Ada;2
179;7721;dua;2
179;7722;Keduanya;2
179;7723;Tidak Ada;2
179;7724;Tidak Ada;2
179;7725;Tidak Ada;2
179;7726;Tidak Ada;2
179;7727;Tidak Ada;2
179;7728;Tidak Ada;2
179;7729;Tidak Ada;2
179;7730;Tidak Ada;2
179;7731;Tidak Ada;2
179;7732;Tidak Ada;2
179;7733;Tidak Ada;2
179;7734;Tidak Ada;2
179;7735;Tidak Ada;2
179;7736;Tidak Ada;2
179;7737;Tidak Ada;2
179;7738;Tidak Ada;2
179;7739;Tidak Ada;2
179;7740;Tidak Ada;2
197;8582;Tidak Ada;2
197;8583;Tidak Ada;2
197;8584;Tidak Ada;2
197;8585;Tidak Ada;2
197;8586;Tidak Ada;2
197;8587;Tidak Ada;2
197;8588;Tidak Ada;2
197;8589;Tidak Ada;2
100;4135;Tidak Ada;2
197;8590;Tidak Ada;2
197;8591;Tidak Ada;2
197;8592;Tidak Ada;2
197;8593;Tidak Ada;2
22;820;Tidak Ada;2
22;821;Tidak Ada;2
197;8594;Tidak Ada;2
197;8595;Tidak Ada;2
197;8596;Tidak Ada;2
197;8597;Tidak Ada;2
197;8598;Tidak Ada;2
197;8599;Tidak Ada;2
197;8600;Tidak Ada;2
197;8601;Tidak Ada;2
197;8602;Tidak Ada;2
197;8603;Tidak Ada;2
197;8604;Tidak Ada;2
197;8605;Tidak Ada;2
197;8606;Tidak Ada;2
197;8607;Tidak Ada;2
206;8948;Tidak Ada;2
195;8538;Tidak Ada;2
206;8949;Tidak Ada;2
206;8950;Tidak Ada;2
206;8951;Tidak Ada;2
206;8952;Tidak Ada;2
206;8953;Tidak Ada;2
22;823;Tidak Ada;2
206;8957;Tidak Ada;2
195;8539;Tidak Ada;2
195;8540;2;2
206;8958;Tidak Ada;2
206;8959;Tidak Ada;2
206;8960;Tidak Ada;2
206;8961;Tidak Ada;2
195;8541;5;2
195;8506;Tidak Ada;2
195;8507;3;2
195;8507;12;2
195;8507;4;2
195;8507;5;2
195;8507;6;2
195;8507;7;2
195;8507;8;2
195;8507;9;2
195;8507;10;2
206;8962;Tidak Ada;2
195;8507;11;2
195;8508;Tidak Ada;2
206;8963;Tidak Ada;2
195;8509;Tidak Ada;2
195;8510;Tidak Ada;2
195;8511;Tidak Ada;2
206;8964;Tidak Ada;2
195;8512;21;2
206;8965;Tidak Ada;2
30;1362;Tidak Ada;2
195;8513;Tidak Ada;2
195;8514;3;2
195;8514;12;2
195;8514;4;2
195;8514;5;2
195;8514;6;2
195;8514;7;2
195;8514;8;2
195;8514;9;2
195;8514;10;2
195;8514;11;2
30;1363;Tidak Ada;2
195;8515;Tidak Ada;2
206;8966;Tidak Ada;2
30;1364;Tidak Ada;2
30;1365;lima;2
206;8967;Tidak Ada;2
206;8968;Tidak Ada;2
195;8516;Tidak Ada;2
30;1366;Tidak Ada;2
195;8517;Tidak Ada;2
195;8518;Tidak Ada;2
22;824;Tidak Ada;2
195;8519;Tidak Ada;2
30;1367;Tidak Ada;2
206;8969;Tidak Ada;2
195;8520;Tidak Ada;2
30;1368;Tidak Ada;2
195;8521;Tidak Ada;2
206;8970;Tidak Ada;2
30;1369;Tidak Ada;2
195;8522;Tidak Ada;2
206;8971;Tidak Ada;2
195;8523;Tidak Ada;2
206;8972;Tidak Ada;2
206;8973;Tidak Ada;2
22;825;Tidak Ada;2
30;1370;Tidak Ada;2
195;8524;Tidak Ada;2
195;8525;Tidak Ada;2
30;1371;Tidak Ada;2
195;8526;Tidak Ada;2
206;8974;Tidak Ada;2
195;8527;Tidak Ada;2
195;8529;Tidak Ada;2
195;8531;Tidak Ada;2
195;8532;Tidak Ada;2
30;1372;Tidak Ada;2
195;8533;Tidak Ada;2
206;8975;Tidak Ada;2
195;8534;Tidak Ada;2
195;8535;Tidak Ada;2
30;1373;Tidak Ada;2
195;8536;21;2
206;8976;Tidak Ada;2
30;1374;Tidak Ada;2
195;8537;Tidak Ada;2
206;8977;Tidak Ada;2
30;1375;Tidak Ada;2
188;8169;Tidak Ada;2
188;8170;Tidak Ada;2
30;1376;Tidak Ada;2
188;8171;Tidak Ada;2
30;1377;Tidak Ada;2
206;8978;Tidak Ada;2
30;1378;Tidak Ada;2
188;8172;Tidak Ada;2
30;1379;Tidak Ada;2
188;8173;Tidak Ada;2
206;8979;Tidak Ada;2
188;8149;Tidak Ada;2
30;1380;Tidak Ada;2
30;1381;Tidak Ada;2
206;8980;Tidak Ada;2
30;1382;Tidak Ada;2
206;8981;Tidak Ada;2
30;1383;Tidak Ada;2
206;8982;Tidak Ada;2
30;1384;Tidak Ada;2
100;4136;Tidak Ada;2
30;1385;Tidak Ada;2
188;8150;Tidak Ada;2
206;8983;Tidak Ada;2
30;1386;Tidak Ada;2
206;8984;Tidak Ada;2
206;8985;Tidak Ada;2
30;1387;Tidak Ada;2
206;8986;Tidak Ada;2
188;8151;Tidak Ada;2
188;8152;Tidak Ada;2
30;1388;Tidak Ada;2
217;9323;Tidak Ada;2
188;8153;Tidak Ada;2
22;826;Tidak Ada;2
30;1389;Tidak Ada;2
188;8154;Tidak Ada;2
217;9324;Tidak Ada;2
188;8155;Tidak Ada;2
217;9325;Tidak Ada;2
30;1390;Tidak Ada;2
30;1391;Tidak Ada;2
217;9326;Tidak Ada;2
188;8156;Tidak Ada;2
217;9327;Tidak Ada;2
188;8157;Tidak Ada;2
217;9328;Tidak Ada;2
30;1392;Tidak Ada;2
188;8158;Tidak Ada;2
188;8159;400;2
217;9330;Tidak Ada;2
188;8160;Tidak Ada;2
30;1393;Tidak Ada;2
188;8161;Tidak Ada;2
188;8162;Tidak Ada;2
188;8163;Tidak Ada;2
188;8164;Tidak Ada;2
188;8165;Tidak Ada;2
188;8166;Tidak Ada;2
188;8167;Tidak Ada;2
188;8168;Tidak Ada;2
30;1394;Tidak Ada;2
30;1395;Tidak Ada;2
210;9099;27000000;2
210;9108;Tidak Ada;2
210;9079;Tidak Ada;2
210;9080;Tidak Ada;2
30;1396;Tidak Ada;2
210;9081;Tidak Ada;2
210;9082;Tidak Ada;2
30;1397;Tidak Ada;2
210;9083;Tidak Ada;2
30;1398;empat kamera;2
30;1398;13MP+2MP;2
30;1398;16MP+2MP;2
210;9084;1900000000000;2
30;1399;empat kamera;2
210;9085;Tidak Ada;2
30;1400;Tidak Ada;2
210;9086;207400000;2
30;1401;Tidak Ada;2
210;9087;Tidak Ada;2
30;1402;Tidak Ada;2
45;2090;Tidak Ada;2
45;2091;Tidak Ada;2
45;2092;Tidak Ada;2
45;2094;Tidak Ada;2
45;2095;Tidak Ada;2
45;2096;Tidak Ada;2
45;2097;Tidak Ada;2
45;2098;280 Triliun Watt-jam;2
45;2099;1,4 gigawatt;2
215;9281;Tidak Ada;2
215;9282;Tidak Ada;2
215;9283;Tidak Ada;2
215;9284;Tidak Ada;2
215;9285;2,3 triliun;2
215;9286;Tidak Ada;2
215;9287;enam tersangka;2
215;9288;empat orang;2
215;9290;Satu;2
215;9290;1;2
215;9291;5 tahun;2
211;9109;Tidak Ada;2
211;9110;19;2
211;9111;dua;2
211;9112;Tidak Ada;2
211;9113;23;2
211;9113;16;2
211;9113;11;2
211;9113;Tidak Ada;2
211;9114;19;2
211;9115;Tidak Ada;2
211;9116;Tidak Ada;2
211;9117;Tidak Ada;2
211;9118;2018;2
211;9119;Tidak Ada;2
211;9120;18;2
211;9120;19;2
211;9121;Tidak Ada;2
211;9122;10;2
211;9122;11;2
211;9123;Tidak Ada;2
211;9124;Tidak Ada;2
211;9125;Tidak Ada;2
211;9126;Tidak Ada;2
211;9127;Tidak Ada;2
211;9128;Tidak Ada;2
211;9129;20;2
211;9129;11;2
211;9130;Tidak Ada;2
211;9131;Tidak Ada;2
211;9132;Tidak Ada;2
211;9133;Tidak Ada;2
211;9134;19;2
211;9135;Tidak Ada;2
211;9136;Tidak Ada;2
211;9137;Tidak Ada;2
211;9138;Tidak Ada;2
211;9139;1;2
211;9139;2;2
211;9139;3;2
211;9139;4;2
211;9139;5;2
211;9139;6;2
211;9139;7;2
211;9139;8;2
211;9139;19;2
211;9140;2013;2
211;9140;22;2
211;9141;Tidak Ada;2
211;9142;19;2
211;9142;tiga;2
211;9143;tiga;2
211;9143;19;2
211;9144;19;2
211;9145;Tidak Ada;2
211;9146;Tidak Ada;2
211;9147;Tidak Ada;2
285;12272;Tidak Ada;2
285;12273;Tidak Ada;2
285;12274;Tidak Ada;2
285;12274;Tidak Ada;2
285;12277;Tidak Ada;2
285;12278;Tidak Ada;2
285;12279;Tidak Ada;2
285;12280;Tidak Ada;2
23;851;Tidak Ada;2
23;852;Tidak Ada;2
23;853;Tidak Ada;2
23;854;Tidak Ada;2
23;855;Tidak Ada;2
285;12255;Tidak Ada;2
23;856;Tidak Ada;2
199;8683;21;2
199;8683;Tidak Ada;2
285;12256;Tidak Ada;2
285;12257;Tidak Ada;2
23;857;Tidak Ada;2
199;8684;18;2
199;8684;16;2
199;8684;21;2
23;858;Tidak Ada;2
285;12258;Tidak Ada;2
285;12258;Tidak Ada;2
199;8685;20;2
199;8685;24;2
199;8685;18;2
23;859;Tidak Ada;2
285;12259;600;2
285;12259;Tidak Ada;2
23;860;Tidak Ada;2
109;4454;Tidak Ada;2
199;8686;5,1 juta jiwa;2
199;8686;5,3 juta jiwa;2
285;12260;Tidak Ada;2
285;12260;Tidak Ada;2
23;861;Tidak Ada;2
109;4455;Tidak Ada;2
23;862;Tidak Ada;2
23;863;Tidak Ada;2
285;12261;Tidak Ada;2
285;12262;Tidak Ada;2
285;12263;Tidak Ada;2
285;12264;Tidak Ada;2
285;12265;Tidak Ada;2
285;12266;Tidak Ada;2
285;12267;Tidak Ada;2
285;12268;Tidak Ada;2
285;12269;Tidak Ada;2
285;12270;Tidak Ada;2
285;12271;Tidak Ada;2
310;13336;Tidak Ada;2
310;13299;Tidak Ada;2
310;13300;Tidak Ada;2
310;13301;Tidak Ada;2
310;13302;Tidak Ada;2
310;13303;Tidak Ada;2
310;13304;Tidak Ada;2
310;13305;Tidak Ada;2
310;13306;Tidak Ada;2
310;13307;Tidak Ada;2
310;13308;Tidak Ada;2
310;13309;Tidak Ada;2
310;13310;Tidak Ada;2
310;13310;Tidak Ada;2
211;9148;19;2
35;1570;23;2
35;1570;20;2
310;13312;Tidak Ada;2
211;9149;Tidak Ada;2
240;10479;Tidak Ada;2
109;4456;Tidak Ada;2
15;579;Tidak Ada;2
211;9150;Tidak Ada;2
310;13313;Tidak Ada;2
211;9151;2014;2
109;4457;Tidak Ada;2
211;9151;2013;2
211;9151;2017;2
310;13314;Tidak Ada;2
211;9151;19;2
240;10480;Tidak Ada;2
310;13315;Tidak Ada;2
310;13316;Tidak Ada;2
109;4458;Tidak Ada;2
15;580;Tidak Ada;2
310;13317;Tidak Ada;2
35;1571;23;2
240;10481;171;2
240;10481;17;2
240;10481;39;2
240;10481;115;2
199;8666;Dua siswi;2
199;8666;Dua siswi;2
310;13318;Tidak Ada;2
211;9152;Tidak Ada;2
211;9153;tiga;2
310;13319;Tidak Ada;2
211;9154;23;2
211;9154;Tidak Ada;2
109;4459;Tidak Ada;2
310;13321;Tidak Ada;2
211;9155;23;2
240;10482;Tidak Ada;2
211;9156;19;2
211;9156;2013;2
310;13323;Tidak Ada;2
211;9157;Tidak Ada;2
199;8667;Tidak Ada;2
211;9158;Tidak Ada;2
310;13324;Tidak Ada;2
211;9159;Tidak Ada;2
109;4460;Tidak Ada;2
15;581;Tidak Ada;2
211;9160;Tidak Ada;2
240;10483;Tidak Ada;2
310;13325;Tidak Ada;2
211;9161;19;2
211;9162;19;2
310;13326;Tidak Ada;2
240;10484;Tidak Ada;2
211;9163;Tidak Ada;2
211;9164;Tidak Ada;2
211;9165;Tidak Ada;2
310;13327;Tidak Ada;2
211;9166;Tidak Ada;2
240;10485;Tidak Ada;2
15;583;Tidak Ada;2
211;9167;Tidak Ada;2
310;13328;Tidak Ada;2
240;10486;Tidak Ada;2
310;13329;Tidak Ada;2
211;9168;Tidak Ada;2
211;9169;Tidak Ada;2
240;10487;Tidak Ada;2
211;9170;Tidak Ada;2
310;13330;Tidak Ada;2
15;587;Tidak Ada;2
109;4461;Tidak Ada;2
211;9171;Tidak Ada;2
240;10488;Tidak Ada;2
310;13331;Tidak Ada;2
211;9172;Tidak Ada;2
240;10489;Tidak Ada;2
310;13332;Tidak Ada;2
15;588;627;2
15;588;1.249;2
15;588;Tidak Ada;2
211;9173;Tidak Ada;2
211;9174;16;2
211;9174;2017;2
240;10490;Tidak Ada;2
310;13333;Tidak Ada;2
310;13333;Tidak Ada;2
3;92;Tidak Ada;2
240;10491;Tidak Ada;2
310;13334;Tidak Ada;2
240;10492;Tidak Ada;2
3;93;Tidak Ada;2
310;13335;Tidak Ada;2
3;94;12;2
3;94;2005;2
3;95;2015;2
292;12497;Tidak Ada;2
292;12498;Tidak Ada;2
3;96;Tidak Ada;2
292;12499;Tidak Ada;2
292;12500;Tidak Ada;2
214;9233;25;2
214;9233;10;2
214;9233;2017;2
3;97;Tidak Ada;2
214;9234;Tidak Ada;2
292;12501;Tidak Ada;2
214;9235;Tidak Ada;2
23;851;Tidak Ada;2
214;9236;118;2
214;9236;2016;2
292;12502;Tidak Ada;2
214;9237;satu;2
214;9237;2016;2
214;9237;2017;2
214;9238;20;2
214;9238;11;2
214;9238;2017;2
214;9238;kedua;2
3;98;10;2
214;9238;pertama;2
292;12503;Tidak Ada;2
292;12503;Tidak Ada;2
214;9239;Tidak Ada;2
214;9240;Tidak Ada;2
3;99;Tidak Ada;2
292;12504;Tidak Ada;2
214;9241;kedua;2
214;9241;pertama;2
214;9241;30;2
214;9241;25;2
214;9241;12,5;2
214;9242;36;2
292;12505;Tidak Ada;2
214;9243;1;2
214;9243;1985;2
292;12506;Tidak Ada;2
3;100;9;2
3;100;11;2
3;100;9/11;2
240;10493;5000;2
292;12507;Tidak Ada;2
292;12507;Tidak Ada;2
214;9244;12,5;2
214;9244;638;2
214;9244;4,8;2
214;9244;632;2
292;12508;Tidak Ada;2
3;101;Tidak Ada;2
214;9245;pertama;2
240;10494;Tidak Ada;2
214;9245;tiga;2
214;9245;2;2
214;9245;4;2
214;9245;5;2
240;10495;Tidak Ada;2
214;9246;dua;2
292;12509;Tidak Ada;2
214;9247;Tidak Ada;2
292;12510;Tidak Ada;2
214;9248;Tidak Ada;2
292;12511;Tidak Ada;2
214;9249;Tidak Ada;2
214;9250;1;2
292;12512;Tidak Ada;2
292;12512;Tidak Ada;2
214;9251;283,57;2
214;9252;dua;2
292;12513;Tidak Ada;2
292;12514;Tidak Ada;2
214;9253;Tidak Ada;2
214;9254;21;2
214;9254;23;2
214;9254;3;2
292;12515;Tidak Ada;2
292;12515;Tidak Ada;2
292;12515;Tidak Ada;2
214;9255;31;2
214;9255;2017;2
292;12516;Tidak Ada;2
214;9256;Tidak Ada;2
214;9257;118;2
214;9257;2016;2
292;12517;Tidak Ada;2
214;9258;Tidak Ada;2
292;12518;Tidak Ada;2
214;9259;Tidak Ada;2
214;9260;2017;2
214;9260;858;2
292;12519;Tidak Ada;2
214;9260;66,8;2
292;12520;Tidak Ada;2
292;12521;Tidak Ada;2
292;12522;Tidak Ada;2
292;12523;Tidak Ada;2
292;12524;Tidak Ada;2
292;12525;Tidak Ada;2
292;12526;Tidak Ada;2
292;12527;Tidak Ada;2
292;12528;Tidak Ada;2
292;12529;Tidak Ada;2
292;12530;Tidak Ada;2
292;12531;Tidak Ada;2
292;12532;Tidak Ada;2
292;12533;Tidak Ada;2
267;11612;Tidak Ada;2
267;11613;Tidak Ada;2
267;11614;Tidak Ada;2
267;11614;Tidak Ada;2
