id_berita;id_kalimat;nama_organisasi;isCorrect;isValid
15;590;Tidak Ada;1;1
15;579;Tidak Ada;1;1
15;580;Provinsi Kepulauan Riau;1;2
15;581;Tidak Ada;1;1
15;583;Tidak Ada;1;1
15;587;Badan Pusat Statistik;1;1
15;588;Tidak Ada;1;1
15;590;Twitter;1;2
3;92;Tidak Ada;1;1
3;93;Tidak Ada;1;1
3;94;Tidak Ada;1;1
15;579;Tidak Ada;1;1
3;95;Tidak Ada;1;1
3;96;Tidak Ada;1;1
3;97;Tidak Ada;1;1
30;1362;Tidak Ada;1;2
15;590;Tidak Ada;1;2
15;579;Tidak Ada;1;1
15;580;Tidak Ada;1;2
15;581;Tidak Ada;1;1
15;583;Tidak Ada;1;1
15;587;Sosial Ekonomi Nasional (Susenas);1;2
15;587;Badan Pusat Statistik;1;1
15;588;Tidak Ada;1;1
3;92;Tidak Ada;1;1
3;93;Tidak Ada;1;1
3;94;Tidak Ada;1;1
3;95;Tidak Ada;1;1
3;96;Honda Prospek Motor (HPM);1;2
3;97;Tidak Ada;1;1
15;590;Tidak Ada;1;2
23;851;Repsol Honda;1;1
23;851;Repsol Honda;1;2
3;98;Tidak Ada;1;1
3;99;Tidak Ada;1;1
3;100;HPM;1;2
3;101;Tidak Ada;1;2
3;102;Tidak Ada;1;1
3;103;Tidak Ada;1;1
3;104;Tidak Ada;1;1
3;105;Tidak Ada;1;1
15;590;Tidak Ada;1;1
15;579;Tidak Ada;1;1
3;106;BRIONESIA \(Brio Indonesia\);1;1
3;106;HDI \(HR-V Devotee Indonesia\);1;1
3;106;HDI \(HR-V Devotee Indonesia\);1;1
3;106;INVERNITY \(Indonesia BRaVer Community\);1;1
3;106;Mobility \(Mobilio Indonesia Community\);1;1
15;580;Tidak Ada;1;2
15;581;Tidak Ada;1;1
3;107;Tidak Ada;1;1
15;583;Tidak Ada;1;1
3;108;Tidak Ada;1;1
3;109;Tidak Ada;1;1
15;587;Sosial Ekonomi Nasional (Susenas);1;2
15;587;Badan Pusat Statistik;1;1
15;587;Tidak Ada;1;1
3;110;Tidak Ada;1;1
15;588;Tidak Ada;1;1
3;111;Tidak Ada;1;2
3;92;Honda Jazz Brio Tuning;1;2
3;112;Tidak Ada;1;2
3;113;Tidak Ada;1;2
3;114;Tidak Ada;1;1
3;115;Tidak Ada;1;2
3;116;Autos\.id;1;2
3;117;Tidak Ada;1;2
3;118;Tidak Ada;1;1
109;4445;Tolerance Film Festival;1;2
109;4445;Tolerance Film Festival;1;2
109;4446;Tidak Ada;1;1
109;4447;Tidak Ada;1;1
21;777;Tidak Ada;1;2
21;778;Tidak Ada;1;2
21;779;Tidak Ada;1;2
21;780;Tidak Ada;1;2
21;781;Casey House;1;1
21;782;Tidak Ada;1;2
22;842;Tidak Ada;1;1
21;783;Tidak Ada;1;1
21;784;Tidak Ada;1;1
21;785;Avert\.org;1;2
21;786;Tidak Ada;1;1
21;787;Tidak Ada;1;1
21;788;Tidak Ada;1;1
21;789;Tidak Ada;1;1
21;790;Tidak Ada;1;1
21;791;Tidak Ada;1;1
21;792;Tidak Ada;1;2
21;793;Tidak Ada;1;2
21;793;Tidak Ada;1;2
21;794;Toronto Star;1;2
21;795;Center for Disease Control and Prevention;1;1
21;796;Tidak Ada;1;1
21;797;Tidak Ada;1;1
21;798;Tidak Ada;1;1
21;799;Tidak Ada;1;1
21;800;Tidak Ada;1;1
21;801;Tidak Ada;1;1
21;802;Tidak Ada;1;1
23;852;Repsol Honda;1;1
23;853;Tidak Ada;1;1
23;854;Tidak Ada;1;1
23;855;Tidak Ada;1;1
23;856;Tidak Ada;1;1
23;857;Tidak Ada;1;1
23;858;Tidak Ada;1;1
23;859;Tidak Ada;1;2
23;860;Tidak Ada;1;1
109;4445;Tidak Ada;1;2
109;4446;Tidak Ada;1;1
109;4447;Tidak Ada;1;1
109;4448;Tidak Ada;1;2
109;4449;Nazi;1;1
109;4449;Tidak Ada;1;2
23;861;Tidak Ada;1;1
109;4450;Tidak Ada;1;1
109;4451;Tidak Ada;1;2
109;4452;Tidak Ada;1;1
23;862;Tidak Ada;1;1
109;4453;Tidak Ada;1;2
23;863;Tidak Ada;1;1
23;864;Tidak Ada;1;1
23;865;Tidak Ada;1;1
23;866;Tidak Ada;1;1
23;867;Tidak Ada;1;1
23;868;Tidak Ada;1;2
23;869;Tidak Ada;1;1
35;1566;NASA;1;1
35;1567;Tidak Ada;1;1
35;1568;Tidak Ada;1;1
35;1569;Badan Aeronautika dan Antariksa Amerika Serikat;1;2
35;1569;NASA;1;1
35;1570;NASA;1;1
197;8572;Tidak Ada;1;1
22;843;Tidak Ada;1;1
22;844;Science Direct;1;2
22;844;Tidak Ada;1;2
22;845;Tidak Ada;1;1
22;846;Tidak Ada;1;1
23;870;Tidak Ada;1;1
197;8572;Tidak Ada;1;1
197;8573;Tidak Ada;1;1
197;8574;Tidak Ada;1;1
23;871;Tidak Ada;1;1
197;8575;Tidak Ada;1;1
23;872;Tidak Ada;1;1
197;8578;Tidak Ada;1;2
22;847;Tidak Ada;1;2
197;8579;Tidak Ada;1;1
197;8580;Tidak Ada;1;1
197;8581;Tidak Ada;1;1
22;848;Tidak Ada;1;1
23;873;Ducati;1;1
22;849;Tidak Ada;1;1
100;4134;Tidak Ada;1;2
23;874;Tidak Ada;1;1
199;8666;Gerakan Stop Perkawinan Anak;1;2
22;850;Tidak Ada;1;1
199;8667;Tidak Ada;1;1
199;8668;UNICEF;1;1
199;8669;Perserikatan Bangsa-Bangsa \(PBB\);1;1
199;8670;Tidak Ada;1;1
199;8671;UNICEF;1;1
199;8672;Kementerian Pemberdayaan Perempuan dan Perlindunga;1;2
199;8673;Tidak Ada;1;2
199;8674;Tidak Ada;1;1
199;8675;Tidak Ada;1;2
199;8675;Tidak Ada;1;2
199;8676;Tidak Ada;1;1
199;8677;Tidak Ada;1;1
22;810;Tidak Ada;1;2
199;8678;Tidak Ada;1;1
199;8679;Kementerian PPPA;1;2
199;8680;Gerakan Stop Perkawinan Anak;1;2
199;8681;Tidak Ada;1;1
199;8682;Kementerian PPPA;1;2
199;8683;Tidak Ada;1;1
199;8684;Tidak Ada;1;2
199;8685;Tidak Ada;1;2
199;8686;Badan Pusat Statistik \(BPS\);1;1
199;8687;Tidak Ada;1;1
199;8688;Tidak Ada;1;1
199;8689;Tidak Ada;1;1
199;8690;Tidak Ada;1;1
199;8691;Tidak Ada;1;1
199;8692;Kementerian PPPA;1;2
199;8693;Tidak Ada;1;1
199;8694;Tidak Ada;1;1
199;8695;Tidak Ada;1;1
22;811;Tidak Ada;1;1
199;8696;Tidak Ada;1;1
22;812;Masyarakat Ekonomi Syariah \(MES\);1;1
22;813;Tidak Ada;1;1
199;8697;Kementerian PPPA;1;2
199;8698;Deputi Menteri PPPA Bidang Tumbuh Kembang Anak;1;2
22;814;CNNIndonesia\.com;1;2
199;8699;Tidak Ada;1;1
199;8700;Tidak Ada;1;2
199;8701;Tidak Ada;1;2
199;8702;Tidak Ada;1;1
199;8703;Koalisi Perempuan Indonesia \(KPI\);1;1
199;8703;Pengadilan Tinggi Agama Jateng;1;2
199;8704;KPI;1;1
22;815;Tidak Ada;1;1
199;8705;Tidak Ada;1;1
199;8706;Tidak Ada;1;1
199;8707;Tidak Ada;1;1
199;8708;Tidak Ada;1;2
199;8709;Tidak Ada;1;2
199;8710;Tidak Ada;1;2
199;8711;Tidak Ada;1;1
199;8712;Tidak Ada;1;1
199;8713;Tidak Ada;1;1
22;816;Tidak Ada;1;1
199;8714;Tidak Ada;1;1
22;817;Tirto\.id;1;2
199;8715;Tidak Ada;1;1
199;8716;Tidak Ada;1;1
199;8717;Tidak Ada;1;1
199;8718;Tidak Ada;1;1
199;8719;Tidak Ada;1;1
199;8720;Tidak Ada;1;1
199;8721;Tidak Ada;1;1
199;8722;Kementerian PPPA;1;2
199;8723;Kementerian PPPA;1;2
199;8723;Pusat Pembelajaran Keluarga \(Puspaga\);1;1
199;8724;Tidak Ada;1;2
199;8725;Puspaga;1;1
199;8726;Tidak Ada;1;1
199;8727;Tidak Ada;1;1
215;9293;Tidak Ada;1;1
22;818;Tidak Ada;1;1
22;819;Tidak Ada;1;1
199;8666;Tidak Ada;1;2
199;8667;Tidak Ada;1;1
199;8668;UNICEF;1;1
199;8669;Perserikatan Bangsa-Bangsa \(PBB\);1;1
215;9263;Tidak Ada;1;2
199;8670;Tidak Ada;1;1
199;8671;UNICEF;1;1
215;9264;Komisi Pemberantasan Korupsi \(KPK\);1;1
199;8672;Kementerian Pemberdayaan Perempuan dan Perlindunga;1;2
199;8673;ASEAN;1;1
199;8674;Tidak Ada;1;1
199;8675;Kementerian PPPA;1;2
199;8675;Tidak Ada;1;2
199;8675;Tidak Ada;1;2
199;8675;Kementerian PPPA;1;2
215;9265;KPK;1;1
199;8676;Tidak Ada;1;1
215;9266;KPK;1;1
199;8677;Tidak Ada;1;1
215;9267;Tidak Ada;1;2
199;8678;Tidak Ada;1;1
215;9268;Tidak Ada;1;2
215;9269;Tidak Ada;1;2
199;8679;Kementerian PPPA;1;2
215;9270;Tidak Ada;1;2
215;9271;Tidak Ada;1;2
215;9272;Tidak Ada;1;1
199;8680;Tidak Ada;1;2
215;9273;Tidak Ada;1;2
199;8681;Tidak Ada;1;1
215;9274;Tidak Ada;1;2
199;8682;Kementerian PPPA;1;2
215;9275;Tidak Ada;1;2
21;803;Foxnews;1;2
21;803;Newswire;1;2
21;804;Tidak Ada;1;2
21;805;Tidak Ada;1;2
21;806;Tidak Ada;1;2
21;807;Tidak Ada;1;2
21;808;Tidak Ada;1;2
21;809;Tidak Ada;1;2
179;7695;Tidak Ada;1;1
179;7696;Komnas HAM;1;1
179;7697;Tidak Ada;1;2
179;7698;Tidak Ada;1;2
179;7699;peleton Intai Tempur Kostrad;1;2
179;7699;Batalyon Infanteri 754\/Eme Neme Kangasi;1;1
179;7700;Tidak Ada;1;1
179;7701;Tidak Ada;1;1
179;7702;Kapendam XVII Cendrawasih;1;2
179;7703;Tidak Ada;1;1
179;7704;Tidak Ada;1;1
179;7705;Tidak Ada;1;1
179;7706;Tidak Ada;1;1
215;9276;Tidak Ada;1;2
179;7707;Tidak Ada;1;1
179;7708;Tidak Ada;1;1
215;9277;Tidak Ada;1;2
215;9278;Kompas\.com;1;2
215;9278;Tidak Ada;1;2
215;9280;Tidak Ada;1;1
179;7709;Tidak Ada;1;1
179;7710;Tidak Ada;1;1
179;7711;Tidak Ada;1;2
179;7712;Operasi Tentara Pembebasan Nasional Papua Barat;1;2
179;7713;Tidak Ada;1;1
179;7714;Tidak Ada;1;1
179;7715;Tidak Ada;1;1
179;7716;Brimob;1;1
179;7717;Den B Timika;1;1
179;7718;Tidak Ada;1;1
179;7719;Tidak Ada;1;1
3;98;Tidak Ada;1;1
179;7720;Tidak Ada;1;2
3;99;Tidak Ada;1;1
179;7721;TPN-PB;1;1
179;7722;Tidak Ada;1;1
179;7723;Tidak Ada;1;1
179;7724;Tidak Ada;1;1
179;7725;TPN-PB;1;1
179;7725;PBB;1;1
179;7726;Tidak Ada;1;1
179;7727;Tidak Ada;1;1
179;7728;Tidak Ada;1;1
179;7729;Tidak Ada;1;1
179;7730;Tidak Ada;1;2
179;7731;Komisi Nasional Hak Asasi Manusia \(Komnas HAM\);1;1
179;7731;Polri;1;1
179;7731;TNI;1;1
179;7732;Komnas;1;1
179;7733;Tidak Ada;1;1
179;7734;Kantor Perwakilan Komnas HAM;1;2
179;7735;Komnas HAM;1;1
179;7736;Tidak Ada;1;1
179;7737;Tidak Ada;1;1
179;7738;Tidak Ada;1;2
179;7739;Tidak Ada;1;1
179;7740;Komnas HAM;1;1
197;8582;Tidak Ada;1;1
197;8583;Tidak Ada;1;1
197;8584;Tidak Ada;1;1
197;8585;Tidak Ada;1;1
197;8586;Tidak Ada;1;1
197;8587;Tidak Ada;1;1
197;8588;Tidak Ada;1;1
197;8589;Tidak Ada;1;1
100;4135;Tidak Ada;1;1
197;8590;Tidak Ada;1;1
197;8591;Tidak Ada;1;1
197;8592;Tidak Ada;1;1
197;8593;Tidak Ada;1;1
22;820;Liputan6\.com;1;2
197;8594;Tidak Ada;1;1
197;8595;Tidak Ada;1;1
197;8596;Tidak Ada;1;1
197;8597;Tidak Ada;1;1
197;8598;Tidak Ada;1;1
197;8599;Tidak Ada;1;1
197;8600;Tidak Ada;1;1
197;8601;Tidak Ada;1;1
197;8602;Tidak Ada;1;1
197;8603;Tidak Ada;1;1
197;8604;Tidak Ada;1;1
197;8605;Tidak Ada;1;1
197;8606;Tidak Ada;1;1
197;8607;Tidak Ada;1;1
206;8948;Tidak Ada;1;2
22;821;Tidak Ada;1;2
22;823;Tidak Ada;1;2
195;8538;Tidak Ada;1;1
206;8949;Tidak Ada;1;1
206;8950;Tidak Ada;1;1
206;8951;Tidak Ada;1;1
206;8952;Tidak Ada;1;1
206;8953;Tidak Ada;1;1
195;8539;Tidak Ada;1;2
206;8957;Tidak Ada;1;1
195;8540;Tidak Ada;1;1
22;824;Tidak Ada;1;2
206;8958;MAIN KESINI \(@mainkesini\);1;2
206;8959;Tidak Ada;1;1
206;8960;Tidak Ada;1;1
195;8541;DPR;1;2
195;8541;Golkar;1;1
195;8541;Tidak Ada;1;2
195;8541;Golkar;1;2
206;8961;Tidak Ada;1;1
206;8962;Tidak Ada;1;1
195;8506;Partai Golkar;1;1
195;8506;Partai Golkar;1;2
195;8507;Tidak Ada;1;1
206;8963;Tidak Ada;1;1
195;8508;Komisi Pemberantasan Korupsi;1;2
195;8508;KPK;1;2
195;8509;DPR;1;2
195;8510;KPK;1;1
195;8510;Tidak Ada;1;2
195;8511;Polda Metro Jaya;1;2
206;8964;Tidak Ada;1;1
195;8512;Tidak Ada;1;2
206;8965;Tidak Ada;1;1
195;8513;Tidak Ada;1;1
206;8966;Tidak Ada;1;1
195;8514;Tidak Ada;1;1
195;8515;KPK;1;1
30;1363;Tidak Ada;1;2
30;1364;Tidak Ada;1;1
206;8967;Tidak Ada;1;1
30;1365;Tidak Ada;1;2
206;8968;Tidak Ada;1;1
195;8516;Tidak Ada;1;1
195;8517;Tidak Ada;1;1
30;1366;Tidak Ada;1;2
195;8518;Tidak Ada;1;1
30;1367;Tidak Ada;1;1
195;8519;Tidak Ada;1;1
195;8520;Tidak Ada;1;2
30;1368;Badan Penelitian dan Pengembangan Pertanian \(Bali;1;2
206;8969;Tidak Ada;1;1
195;8521;KPK;1;1
30;1369;Balitbang Kementrian Pertanian;1;2
206;8970;Tidak Ada;1;1
195;8522;Polri;1;1
195;8522;TNI;1;1
206;8971;Tidak Ada;1;2
195;8523;Peradi;1;1
195;8523;Persatuan Advokat Indonesia;1;1
206;8972;Tidak Ada;1;1
206;8973;Tidak Ada;1;1
22;825;Tidak Ada;1;1
195;8524;Tidak Ada;1;1
195;8525;Tidak Ada;1;2
206;8974;Tidak Ada;1;1
30;1370;Tidak Ada;1;2
195;8526;Tidak Ada;1;1
30;1371;Tidak Ada;1;1
195;8527;Tidak Ada;1;2
195;8529;Tidak Ada;1;2
195;8531;KPK;1;1
195;8532;Tidak Ada;1;2
195;8533;Tidak Ada;1;2
30;1372;Tidak Ada;1;2
30;1373;Tidak Ada;1;1
195;8534;Tidak Ada;1;1
195;8535;Perhimpunan Advokat Pendukung KPK;1;1
195;8535;PAP-KPK;1;1
195;8535;KPK;1;1
206;8975;Tidak Ada;1;1
206;8976;Tidak Ada;1;1
195;8536;PAP-KPK;1;1
30;1374;Tidak Ada;1;1
100;4136;ASEAN;1;1
195;8537;Tidak Ada;1;1
206;8977;Tidak Ada;1;1
30;1375;American Society for Reproductive Medicine \(ASRM\;1;2
188;8169;Tidak Ada;1;2
206;8978;Tidak Ada;1;2
188;8170;Tidak Ada;1;2
30;1376;Tidak Ada;1;2
188;8171;Tidak Ada;1;2
30;1377;Tidak Ada;1;2
30;1378;Tidak Ada;1;2
188;8172;Tidak Ada;1;2
206;8979;Tidak Ada;1;2
30;1379;Tidak Ada;1;2
188;8173;Tidak Ada;1;2
188;8149;Tidak Ada;1;2
206;8980;Tidak Ada;1;2
30;1380;Tidak Ada;1;2
188;8150;Tidak Ada;1;2
30;1381;Tidak Ada;1;2
30;1382;Tidak Ada;1;2
206;8981;Tidak Ada;1;2
206;8982;Tidak Ada;1;2
30;1383;Tidak Ada;1;2
30;1384;Tidak Ada;1;2
206;8983;Tidak Ada;1;2
30;1385;Tidak Ada;1;2
206;8984;Tidak Ada;1;2
30;1386;Tidak Ada;1;2
206;8985;Tidak Ada;1;2
188;8151;Tidak Ada;1;2
30;1387;Tidak Ada;1;2
206;8986;Tidak Ada;1;2
188;8152;Tidak Ada;1;2
22;826;DPRD;1;2
22;826;Pemprov DKI;1;2
217;9323;Tidak Ada;1;2
30;1388;Tidak Ada;1;2
188;8153;Tidak Ada;1;2
30;1389;Tidak Ada;1;2
217;9324;Tidak Ada;1;2
188;8154;Tidak Ada;1;2
188;8155;Tidak Ada;1;2
217;9325;Tidak Ada;1;2
30;1390;Tidak Ada;1;2
217;9326;Tidak Ada;1;2
30;1391;Tidak Ada;1;2
188;8156;Tidak Ada;1;2
217;9327;Tidak Ada;1;2
188;8157;Tidak Ada;1;2
217;9328;Tidak Ada;1;2
188;8158;Tidak Ada;1;2
30;1392;Tidak Ada;1;2
217;9330;Tidak Ada;1;2
188;8159;Tidak Ada;1;2
188;8160;Tidak Ada;1;2
30;1393;Tidak Ada;1;2
188;8161;Tidak Ada;1;2
188;8162;Tidak Ada;1;2
188;8163;Tidak Ada;1;2
188;8164;Tidak Ada;1;2
188;8165;Tidak Ada;1;2
188;8166;Tidak Ada;1;2
188;8167;Tidak Ada;1;2
188;8168;Tidak Ada;1;2
30;1394;Tidak Ada;1;2
210;9099;Tidak Ada;1;2
30;1395;Tidak Ada;1;2
210;9108;Tidak Ada;1;2
210;9079;Tidak Ada;1;2
210;9080;Tidak Ada;1;2
30;1396;Tidak Ada;1;2
210;9081;Tidak Ada;1;2
210;9082;Tidak Ada;1;2
30;1397;Tidak Ada;1;2
210;9083;Tidak Ada;1;2
210;9084;Tidak Ada;1;2
30;1398;Tidak Ada;1;2
30;1399;Tidak Ada;1;2
210;9085;Tidak Ada;1;2
30;1400;Tidak Ada;1;2
210;9086;Tidak Ada;1;2
210;9087;Tidak Ada;1;2
30;1401;Tidak Ada;1;2
30;1402;Tidak Ada;1;2
45;2090;Tidak Ada;1;2
45;2091;Tidak Ada;1;2
45;2092;Kementerian ESDM;1;2
45;2094;Tidak Ada;1;2
45;2095;Tidak Ada;1;2
45;2096;Tidak Ada;1;2
45;2097;Tidak Ada;1;2
45;2098;Tidak Ada;1;2
45;2099;Tidak Ada;1;2
215;9281;Tidak Ada;1;2
215;9282;Tidak Ada;1;2
215;9283;Tidak Ada;1;2
215;9284;Tidak Ada;1;2
215;9285;KPK;1;2
215;9286;DPR RI;1;2
215;9287;KPK;1;2
215;9288;DPR RI;1;2
215;9288;Direktorat Jenderal Kependudukan dan Pencatatan Si;1;2
215;9290;DPR RI;1;2
215;9291;Tidak Ada;1;2
211;9109;timnas U-19;1;2
211;9109;Universitas Negeri Yogyakarta;1;2
211;9110;tim nasional Indonesia;1;2
211;9111;Tidak Ada;1;2
211;9112;Tidak Ada;1;2
211;9113;PSSI;1;2
211;9113;timnas U-23;1;2
211;9113;Suriah U-23;1;2
211;9114;timnas U-19;1;2
211;9115;Tidak Ada;1;2
211;9116;Tidak Ada;1;2
211;9117;Tidak Ada;1;2
211;9118;FIGC;1;2
211;9118;timnas Italia;1;2
240;10479;parpol;1;2
240;10479;Bawaslu;1;2
211;9119;Komando Cadangan Strategis Angkatan Darat;1;2
211;9119;Pangkostrad;1;2
211;9120;timnas U-19;1;2
211;9121;PSSI;1;2
211;9122;Tidak Ada;1;2
211;9123;Tidak Ada;1;2
211;9124;Tidak Ada;1;2
211;9125;Tidak Ada;1;2
211;9126;Komite Eksekutif \(Exco\) PSSI;1;2
211;9126;PSSI;1;2
211;9127;PSSI;1;2
211;9128;Tidak Ada;1;2
211;9129;Tidak Ada;1;2
211;9130;Tidak Ada;1;2
211;9131;Tidak Ada;1;2
211;9132;Tidak Ada;1;2
211;9133;Tidak Ada;1;2
211;9134;U-19;1;2
211;9135;Tidak Ada;1;2
211;9136;@pssi__fai;1;2
211;9137;Tidak Ada;1;2
211;9138;Tidak Ada;1;2
211;9139;Tidak Ada;1;2
211;9140;AFF;1;2
211;9140;U-19;1;2
211;9141;Tidak Ada;1;2
211;9142;AFF;1;2
211;9143;Tidak Ada;1;2
211;9144;Tidak Ada;1;2
211;9145;AFC;1;2
211;9146;Tidak Ada;1;2
211;9147;AFC;1;2
285;12272;Tidak Ada;1;2
285;12273;Tidak Ada;1;2
285;12274;Tidak Ada;1;2
285;12277;Tidak Ada;1;2
285;12278;Tidak Ada;1;2
285;12279;Tidak Ada;1;2
285;12280;Tidak Ada;1;2
23;851;MotoGP;1;2
23;852;MotoGP;1;2
23;853;Tidak Ada;1;2
285;12255;Tidak Ada;1;2
23;854;Tidak Ada;1;2
23;855;MotoGP;1;2
23;856;Tidak Ada;1;2
199;8683;Tidak Ada;1;2
285;12256;Tidak Ada;1;2
285;12257;Tidak Ada;1;2
199;8684;Tidak Ada;1;2
23;857;Tidak Ada;1;2
23;858;Tidak Ada;1;2
199;8685;Tidak Ada;1;2
285;12258;Tidak Ada;1;2
23;859;Movistar Yamaha;1;2
285;12259;Tidak Ada;1;2
109;4454;Tidak Ada;1;2
199;8686;Survei Sosial Ekonomi Nasional \(Susenas\);1;2
199;8686;Badan Pusat Statistik \(BPS\);1;2
23;860;Tidak Ada;1;2
109;4455;Tidak Ada;1;2
285;12260;Tidak Ada;1;2
23;861;Tidak Ada;1;2
23;862;Tidak Ada;1;2
23;863;Tidak Ada;1;2
285;12261;Tidak Ada;1;2
285;12262;Tidak Ada;1;2
285;12263;Newsweek;1;2
285;12264;Tidak Ada;1;2
285;12265;Tidak Ada;1;2
285;12266;Tidak Ada;1;2
285;12267;Tidak Ada;1;2
285;12268;Tidak Ada;1;2
285;12269;Tidak Ada;1;2
285;12270;Tidak Ada;1;2
285;12271;Tidak Ada;1;2
310;13336;Tidak Ada;1;2
310;13299;Tidak Ada;1;2
310;13300;Tidak Ada;1;2
310;13301;Tidak Ada;1;2
310;13302;Tidak Ada;1;2
310;13303;Tidak Ada;1;2
310;13304;Tidak Ada;1;2
310;13305;Tidak Ada;1;2
